,Item,Data_do_lancamento,Entradas_Qtd,Entradas_Valor,Saidas_Qtd,Saidas_Valor,Saldo_Inicial_Qtd,Saldo_Inicial_Valor,Saldo_Final_Qtd,Saldo_Final_Valor
128,61.21.107-1,08/08/2012,"0,0","0,0","2,0","381,07","461,0","88428,49999999999","459,0","88047,42999999998"
129,62.51.311-0,08/08/2012,"5,0","530,25","18,0","1810,5500000000002","1261,0","128775,83","1248,0","127495,53"
130,63.41.311-9,08/08/2012,"47,0","3574,66","13,0","1005,4300000000001","868,0","68020,05","902,0","70589,28000000001"
131,66.31.174-0,08/08/2012,"3,0","299,71","4,0","397,59000000000003","403,0","38813,3","402,0","38715,420000000006"
132,69.51.202-0,08/08/2012,"5,0","1433,56","6,0","1780,4","290,0","83686,53","289,0","83339,69"
133,71.15.272-3,08/08/2012,"0,0","0,0","20,0","4788,09","90,0","22173,709999999995","70,0","17385,619999999995"
134,74.62.201-1,08/08/2012,"0,0","0,0","1,0","1365,02","2,0","2870,2899999999986","1,0","1505,2699999999986"
135,76.26.200-4,08/08/2012,"27,0","7706,21","23,0","6680,7300000000005","163,0","47552,24000000001","167,0","48577,72000000001"
136,77.33.242-1,08/08/2012,"18,0","13917,5","21,0","16307,509999999998","195,0","151727,77","192,0","149337,75999999998"
137,10.01.206-6,08/08/2012,"0,0","0,0","355,1012","699,95","5068,592000000001","9755,23","4713,4908000000005","9055,279999999999"
138,47.05.018-9,08/08/2012,"0,0","0,0","157,0","2065,56","164,0","2159,669999999999","7,0","94,10999999999922"
139,47.11.014-9,08/08/2012,"0,0","0,0","572,0","407,62","2776,0","15586,9","2204,0","15179,279999999999"
140,JVB-301-01,08/08/2012,"0,0","0,0","259,0","1589,4399999999998","1968,0","12389,220000000001","1709,0","10799,78"
141,41.01.053-3,08/08/2012,"0,0","0,0","32,0","3,83","25914,0","3101,51","25882,0","3097,6800000000003"
142,41.02.051-2,08/08/2012,"18000,0","1286,72","10562,0","760,05","90115,0","6740,400000000001","97553,0","7267,070000000001"
143,41.67.008-8,08/08/2012,"3780,0","12635,670000000002","806,0","2691,71","4215,0","14011,59","7189,0","23955,550000000003"
